instance_type,n,seed,algorithm,bins,lower_bound,ratio,time_ms,capacity,item_range
large_items,300,49,FFD,125,113,1.106195,0.8275,1000,250-500
large_items,300,49,BFD,125,113,1.106195,0.845,1000,250-500
large_items,300,49,CAD,127,113,1.123894,191.4083,1000,250-500
large_items,500,0,FFD,208,188,1.106383,2.0963,1000,250-500
large_items,500,0,BFD,208,188,1.106383,2.2798,1000,250-500
large_items,500,0,CAD,210,188,1.117021,903.8871,1000,250-500
large_items,500,1,FFD,212,191,1.109948,2.1376,1000,250-500
large_items,500,1,BFD,212,191,1.109948,2.1129,1000,250-500
large_items,500,1,CAD,212,191,1.109948,856.2622,1000,250-500
large_items,500,2,FFD,208,188,1.106383,2.0451,1000,250-500
large_items,500,2,BFD,208,188,1.106383,2.1984,1000,250-500
large_items,500,2,CAD,208,188,1.106383,868.0378,1000,250-500
large_items,500,3,FFD,210,189,1.111111,1.9908,1000,250-500
large_items,500,3,BFD,210,189,1.111111,2.1328,1000,250-500
large_items,500,3,CAD,213,189,1.126984,860.8432,1000,250-500
large_items,500,4,FFD,210,188,1.117021,2.0709,1000,250-500
large_items,500,4,BFD,210,188,1.117021,2.1499,1000,250-500
large_items,500,4,CAD,209,188,1.111702,944.3501,1000,250-500
large_items,500,5,FFD,208,187,1.112299,3.2086,1000,250-500
large_items,500,5,BFD,208,187,1.112299,3.7833,1000,250-500
large_items,500,5,CAD,208,187,1.112299,939.1682,1000,250-500
large_items,500,6,FFD,208,187,1.112299,2.042,1000,250-500
large_items,500,6,BFD,208,187,1.112299,2.1744,1000,250-500
large_items,500,6,CAD,205,187,1.096257,899.8112,1000,250-500
large_items,500,7,FFD,207,187,1.106952,3.6284,1000,250-500
large_items,500,7,BFD,207,187,1.106952,4.2899,1000,250-500
large_items,500,7,CAD,208,187,1.112299,994.7866,1000,250-500
large_items,500,8,FFD,207,187,1.106952,2.76,1000,250-500
large_items,500,8,BFD,207,187,1.106952,4.4924,1000,250-500
large_items,500,8,CAD,206,187,1.101604,854.6216,1000,250-500
large_items,500,9,FFD,209,188,1.111702,2.039,1000,250-500
large_items,500,9,BFD,209,188,1.111702,2.1921,1000,250-500
large_items,500,9,CAD,209,188,1.111702,882.9702,1000,250-500
large_items,500,10,FFD,212,191,1.109948,2.0921,1000,250-500
large_items,500,10,BFD,212,191,1.109948,2.3111,1000,250-500
large_items,500,10,CAD,214,191,1.120419,807.4309,1000,250-500
large_items,500,11,FFD,205,185,1.108108,2.0801,1000,250-500
large_items,500,11,BFD,205,185,1.108108,2.3376,1000,250-500
large_items,500,11,CAD,204,185,1.102703,848.0879,1000,250-500
large_items,500,12,FFD,205,185,1.108108,2.0735,1000,250-500
large_items,500,12,BFD,205,185,1.108108,2.1023,1000,250-500
large_items,500,12,CAD,206,185,1.113514,872.3498,1000,250-500
large_items,500,13,FFD,209,188,1.111702,2.0224,1000,250-500
large_items,500,13,BFD,209,188,1.111702,2.1632,1000,250-500
large_items,500,13,CAD,211,188,1.12234,913.4812,1000,250-500
large_items,500,14,FFD,215,193,1.11399,3.0273,1000,250-500
large_items,500,14,BFD,215,193,1.11399,2.4091,1000,250-500
large_items,500,14,CAD,216,193,1.119171,761.4336,1000,250-500
large_items,500,15,FFD,210,189,1.111111,2.0455,1000,250-500
large_items,500,15,BFD,210,189,1.111111,2.1365,1000,250-500
large_items,500,15,CAD,211,189,1.116402,878.618,1000,250-500
large_items,500,16,FFD,211,190,1.110526,2.0606,1000,250-500
large_items,500,16,BFD,211,190,1.110526,2.3765,1000,250-500
large_items,500,16,CAD,211,190,1.110526,938.2043,1000,250-500
large_items,500,17,FFD,208,188,1.106383,2.4622,1000,250-500
large_items,500,17,BFD,208,188,1.106383,3.7434,1000,250-500
large_items,500,17,CAD,206,188,1.095745,767.9772,1000,250-500
large_items,500,18,FFD,211,189,1.116402,2.0496,1000,250-500
large_items,500,18,BFD,211,189,1.116402,2.1465,1000,250-500
large_items,500,18,CAD,212,189,1.121693,870.4756,1000,250-500
large_items,500,19,FFD,210,189,1.111111,2.0823,1000,250-500
large_items,500,19,BFD,210,189,1.111111,2.3011,1000,250-500
large_items,500,19,CAD,208,189,1.100529,787.5583,1000,250-500
large_items,500,20,FFD,208,189,1.100529,2.0256,1000,250-500
large_items,500,20,BFD,208,189,1.100529,2.2704,1000,250-500
large_items,500,20,CAD,210,189,1.111111,806.085,1000,250-500
large_items,500,21,FFD,207,187,1.106952,2.0987,1000,250-500
large_items,500,21,BFD,207,187,1.106952,2.1114,1000,250-500
large_items,500,21,CAD,208,187,1.112299,887.4092,1000,250-500
large_items,500,22,FFD,209,187,1.117647,1.9805,1000,250-500
large_items,500,22,BFD,209,187,1.117647,2.1729,1000,250-500
large_items,500,22,CAD,210,187,1.122995,1059.623,1000,250-500
